 1.5915e+07(-0.0000e+00) 2.1219e-04(0.0000e+00) 2.1219e-02(-0.0000e+00)
 7.0736e-06(-1.0610e+01) 2.1219e-04(2.1214e-05) 2.1219e-02(-4.2433e-07)
 1.7684e-06(-5.3052e+00) 2.1219e-04(4.2429e-05) 2.1219e-02(-8.4866e-07)
 7.8595e-07(-3.5368e+00) 2.1219e-04(6.3643e-05) 2.1219e-02(-1.2730e-06)
 4.4210e-07(-2.6526e+00) 2.1220e-04(8.4859e-05) 2.1219e-02(-1.6974e-06)
 2.8294e-07(-2.1221e+00) 2.1220e-04(1.0607e-04) 2.1219e-02(-2.1217e-06)
 1.9649e-07(-1.7684e+00) 2.1221e-04(1.2729e-04) 2.1219e-02(-2.5462e-06)
 1.4436e-07(-1.5158e+00) 2.1222e-04(1.4851e-04) 2.1220e-02(-2.9706e-06)
 1.1052e-07(-1.3263e+00) 2.1223e-04(1.6973e-04) 2.1220e-02(-3.3951e-06)
 8.7328e-08(-1.1789e+00) 2.1224e-04(1.9094e-04) 2.1220e-02(-3.8196e-06)
 7.0736e-08(-1.0610e+00) 2.1225e-04(2.1216e-04) 2.1221e-02(-4.2441e-06)
 5.8459e-08(-9.6458e-01) 2.1226e-04(2.3339e-04) 2.1221e-02(-4.6687e-06)
 4.9122e-08(-8.8419e-01) 2.1228e-04(2.5461e-04) 2.1222e-02(-5.0934e-06)
 4.1855e-08(-8.1618e-01) 2.1229e-04(2.7583e-04) 2.1222e-02(-5.5181e-06)
 3.6090e-08(-7.5788e-01) 2.1231e-04(2.9706e-04) 2.1223e-02(-5.9429e-06)
 3.1438e-08(-7.0736e-01) 2.1233e-04(3.1829e-04) 2.1223e-02(-6.3678e-06)
 2.7631e-08(-6.6315e-01) 2.1235e-04(3.3952e-04) 2.1224e-02(-6.7927e-06)
 2.4476e-08(-6.2414e-01) 2.1237e-04(3.6075e-04) 2.1225e-02(-7.2178e-06)
 2.1832e-08(-5.8946e-01) 2.1239e-04(3.8198e-04) 2.1225e-02(-7.6429e-06)
 1.9594e-08(-5.5844e-01) 2.1242e-04(4.0322e-04) 2.1226e-02(-8.0681e-06)
 1.7684e-08(-5.3052e-01) 2.1244e-04(4.2446e-04) 2.1227e-02(-8.4934e-06)
 1.6040e-08(-5.0525e-01) 2.1247e-04(4.4570e-04) 2.1228e-02(-8.9188e-06)
 1.4615e-08(-4.8229e-01) 2.1249e-04(4.6694e-04) 2.1229e-02(-9.3443e-06)
 1.3372e-08(-4.6132e-01) 2.1252e-04(4.8819e-04) 2.1230e-02(-9.7699e-06)
 1.2280e-08(-4.4210e-01) 2.1255e-04(5.0944e-04) 2.1231e-02(-1.0196e-05)
 1.1318e-08(-4.2441e-01) 2.1258e-04(5.3069e-04) 2.1232e-02(-1.0621e-05)
 1.0464e-08(-4.0809e-01) 2.1262e-04(5.5194e-04) 2.1233e-02(-1.1047e-05)
 9.7031e-09(-3.9298e-01) 2.1265e-04(5.7320e-04) 2.1234e-02(-1.1474e-05)
 9.0224e-09(-3.7894e-01) 2.1268e-04(5.9447e-04) 2.1235e-02(-1.1900e-05)
 8.4109e-09(-3.6587e-01) 2.1272e-04(6.1573e-04) 2.1236e-02(-1.2326e-05)
 7.8595e-09(-3.5368e-01) 2.1276e-04(6.3700e-04) 2.1238e-02(-1.2753e-05)
 7.3606e-09(-3.4227e-01) 2.1280e-04(6.5828e-04) 2.1239e-02(-1.3179e-05)
 6.9078e-09(-3.3157e-01) 2.1284e-04(6.7955e-04) 2.1240e-02(-1.3606e-05)
 6.4955e-09(-3.2153e-01) 2.1288e-04(7.0083e-04) 2.1242e-02(-1.4033e-05)
 6.1190e-09(-3.1207e-01) 2.1292e-04(7.2212e-04) 2.1243e-02(-1.4461e-05)
 5.7743e-09(-3.0315e-01) 2.1297e-04(7.4341e-04) 2.1245e-02(-1.4888e-05)
 5.4580e-09(-2.9473e-01) 2.1301e-04(7.6470e-04) 2.1246e-02(-1.5315e-05)
 5.1669e-09(-2.8677e-01) 2.1306e-04(7.8600e-04) 2.1248e-02(-1.5743e-05)
 4.8986e-09(-2.7922e-01) 2.1311e-04(8.0731e-04) 2.1249e-02(-1.6171e-05)
 4.6506e-09(-2.7206e-01) 2.1316e-04(8.2862e-04) 2.1251e-02(-1.6599e-05)
 4.4210e-09(-2.6526e-01) 2.1321e-04(8.4993e-04) 2.1253e-02(-1.7028e-05)
 4.2079e-09(-2.5879e-01) 2.1326e-04(8.7125e-04) 2.1254e-02(-1.7456e-05)
 4.0100e-09(-2.5263e-01) 2.1331e-04(8.9257e-04) 2.1256e-02(-1.7885e-05)
 3.8256e-09(-2.4675e-01) 2.1337e-04(9.1390e-04) 2.1258e-02(-1.8314e-05)
 3.6537e-09(-2.4114e-01) 2.1342e-04(9.3524e-04) 2.1260e-02(-1.8743e-05)
 3.4931e-09(-2.3579e-01) 2.1348e-04(9.5658e-04) 2.1262e-02(-1.9172e-05)
