%# f in GHz     S1(1)1(1)              S1(1)2(1)              S1(1)3(1)              S1(1)4(1)              S2(1)1(1)              S2(1)2(1)              S2(1)3(1)              S2(1)4(1)              S3(1)1(1)              S3(1)2(1)              S3(1)3(1)              S3(1)4(1)              S4(1)1(1)              S4(1)2(1)              S4(1)3(1)              S4(1)4(1)
%#              Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im
%# Reference impedance at port 1 (mode 1):  52.4062385559082, port 2 (mode 1):  64.4482116699219, port 3 (mode 1):  65.5613021850586, port 4 (mode 1):  54.8182716369629 
0.000000       -0.440275  0.000000     0.505624  0.000000     0.493695  0.000000     0.539693  0.000000     0.502227  0.000000     -0.546146  0.000000     0.448208  0.000000     0.489818  0.000000     0.495376  0.000000     0.447837  0.000000     -0.552604  0.000000     0.488778  0.000000     0.540848  0.000000     0.488995  0.000000     0.490345  0.000000     -0.464359  0.000000
0.001000       -0.440245  0.005751     0.505629  0.000101     0.493682  -0.003024     0.539672  -0.004261     0.502233  0.000184     -0.546143  0.001462     0.448206  -0.000875     0.489812  -0.001713     0.495362  -0.003071     0.447834  -0.000868     -0.552597  0.001948     0.488787  0.001162     0.540826  -0.004294     0.488990  -0.001693     0.490354  0.001125     -0.464341  0.003823
0.002000       -0.440152  0.011501     0.505645  0.000203     0.493642  -0.006048     0.539608  -0.008521     0.502252  0.000369     -0.546134  0.002924     0.448198  -0.001751     0.489796  -0.003426     0.495321  -0.006142     0.447827  -0.001735     -0.552577  0.003896     0.488817  0.002325     0.540760  -0.008587     0.488975  -0.003385     0.490382  0.002249     -0.464290  0.007645
0.003000       -0.439999  0.017250     0.505672  0.000303     0.493576  -0.009071     0.539501  -0.012780     0.502283  0.000553     -0.546118  0.004387     0.448185  -0.002626     0.489770  -0.005139     0.495252  -0.009212     0.447814  -0.002603     -0.552543  0.005843     0.488866  0.003486     0.540651  -0.012880     0.488949  -0.005077     0.490429  0.003373     -0.464203  0.011467
0.004000       -0.439784  0.022996     0.505708  0.000404     0.493484  -0.012094     0.539351  -0.017037     0.502327  0.000736     -0.546097  0.005849     0.448167  -0.003501     0.489732  -0.006851     0.495155  -0.012280     0.447797  -0.003470     -0.552494  0.007791     0.488934  0.004647     0.540498  -0.017170     0.488914  -0.006769     0.490494  0.004496     -0.464083  0.015287
0.005000       -0.439508  0.028738     0.505756  0.000504     0.493366  -0.015115     0.539159  -0.021292     0.502384  0.000918     -0.546069  0.007310     0.448145  -0.004376     0.489685  -0.008563     0.495031  -0.015348     0.447775  -0.004337     -0.552432  0.009737     0.489023  0.005807     0.540302  -0.021459     0.488868  -0.008461     0.490578  0.005619     -0.463928  0.019106
0.006000       -0.439170  0.034477     0.505813  0.000603     0.493221  -0.018134     0.538924  -0.025545     0.502453  0.001100     -0.546035  0.008772     0.448117  -0.005251     0.489626  -0.010275     0.494879  -0.018414     0.447748  -0.005204     -0.552357  0.011683     0.489131  0.006966     0.540062  -0.025744     0.488812  -0.010152     0.490681  0.006740     -0.463738  0.022923
0.007000       -0.438772  0.040211     0.505882  0.000701     0.493049  -0.021152     0.538646  -0.029794     0.502535  0.001280     -0.545994  0.010234     0.448083  -0.006125     0.489557  -0.011986     0.494700  -0.021478     0.447716  -0.006070     -0.552267  0.013627     0.489258  0.008123     0.539778  -0.030026     0.488746  -0.011843     0.490802  0.007859     -0.463514  0.026737
0.008000       -0.438312  0.045939     0.505960  0.000798     0.492852  -0.024168     0.538326  -0.034040     0.502629  0.001459     -0.545948  0.011695     0.448045  -0.006999     0.489477  -0.013696     0.494493  -0.024539     0.447679  -0.006936     -0.552164  0.015572     0.489405  0.009278     0.539451  -0.034305     0.488670  -0.013532     0.490942  0.008977     -0.463256  0.030548
0.009000       -0.437791  0.051661     0.506050  0.000894     0.492628  -0.027181     0.537963  -0.038281     0.502735  0.001636     -0.545895  0.013155     0.448002  -0.007872     0.489387  -0.015405     0.494259  -0.027598     0.447637  -0.007802     -0.552047  0.017514     0.489571  0.010430     0.539080  -0.038578     0.488584  -0.015221     0.491101  0.010093     -0.462963  0.034355
0.010000       -0.437209  0.057376     0.506149  0.000989     0.492379  -0.030191     0.537557  -0.042518     0.502855  0.001812     -0.545836  0.014615     0.447954  -0.008745     0.489286  -0.017113     0.493998  -0.030654     0.447591  -0.008667     -0.551917  0.019455     0.489757  0.011581     0.538666  -0.042847     0.488488  -0.016909     0.491278  0.011207     -0.462637  0.038159
0.011000       -0.436567  0.063082     0.506259  0.001082     0.492103  -0.033198     0.537110  -0.046749     0.502986  0.001985     -0.545771  0.016075     0.447901  -0.009617     0.489175  -0.018820     0.493709  -0.033706     0.447539  -0.009532     -0.551773  0.021395     0.489962  0.012729     0.538209  -0.047110     0.488382  -0.018596     0.491473  0.012318     -0.462276  0.041959
0.012000       -0.435864  0.068780     0.506380  0.001174     0.491801  -0.036203     0.536620  -0.050975     0.503130  0.002157     -0.545700  0.017534     0.447842  -0.010488     0.489053  -0.020526     0.493393  -0.036755     0.447483  -0.010396     -0.551615  0.023333     0.490187  0.013874     0.537708  -0.051367     0.488265  -0.020283     0.491688  0.013427     -0.461881  0.045753
0.013000       -0.435100  0.074468     0.506511  0.001264     0.491472  -0.039203     0.536088  -0.055194     0.503286  0.002326     -0.545623  0.018993     0.447779  -0.011359     0.488920  -0.022230     0.493049  -0.039800     0.447422  -0.011259     -0.551443  0.025269     0.490431  0.015016     0.537165  -0.055618     0.488139  -0.021967     0.491920  0.014533     -0.461451  0.049543
0.014000       -0.434276  0.080145     0.506652  0.001352     0.491118  -0.042199     0.535513  -0.059406     0.503455  0.002492     -0.545539  0.020452     0.447710  -0.012229     0.488777  -0.023933     0.492679  -0.042840     0.447356  -0.012122     -0.551258  0.027202     0.490694  0.016154     0.536578  -0.059861     0.488003  -0.023651     0.492171  0.015635     -0.460989  0.053327
0.015000       -0.433392  0.085811     0.506803  0.001438     0.490738  -0.045192     0.534897  -0.063610     0.503636  0.002656     -0.545449  0.021909     0.447637  -0.013099     0.488624  -0.025635     0.492281  -0.045876     0.447285  -0.012984     -0.551060  0.029133     0.490977  0.017289     0.535949  -0.064096     0.487856  -0.025333     0.492440  0.016735     -0.460492  0.057105
0.016000       -0.432448  0.091465     0.506965  0.001522     0.490332  -0.048179     0.534239  -0.067807     0.503829  0.002817     -0.545354  0.023366     0.447559  -0.013967     0.488460  -0.027334     0.491856  -0.048906     0.447209  -0.013845     -0.550848  0.031063     0.491278  0.018419     0.535277  -0.068323     0.487700  -0.027014     0.492727  0.017830     -0.459961  0.060877
0.017000       -0.431444  0.097107     0.507137  0.001603     0.489901  -0.051162     0.533539  -0.071995     0.504034  0.002974     -0.545252  0.024823     0.447475  -0.014835     0.488285  -0.029032     0.491404  -0.051931     0.447128  -0.014705     -0.550622  0.032991     0.491599  0.019546     0.534562  -0.072541     0.487533  -0.028693     0.493033  0.018922     -0.459397  0.064641
0.018000       -0.430380  0.102734     0.507320  0.001682     0.489443  -0.054140     0.532797  -0.076174     0.504251  0.003129     -0.545144  0.026278     0.447387  -0.015701     0.488100  -0.030728     0.490926  -0.054951     0.447043  -0.015564     -0.550383  0.034915     0.491939  0.020668     0.533805  -0.076750     0.487357  -0.030370     0.493357  0.020010     -0.458799  0.068399
0.019000       -0.429257  0.108348     0.507512  0.001758     0.488960  -0.057112     0.532014  -0.080344     0.504481  0.003279     -0.545029  0.027732     0.447293  -0.016566     0.487905  -0.032423     0.490420  -0.057965     0.446952  -0.016422     -0.550131  0.036836     0.492298  0.021785     0.533005  -0.080949     0.487170  -0.032046     0.493699  0.021093     -0.458168  0.072149
0.020000       -0.428075  0.113946     0.507715  0.001832     0.488451  -0.060078     0.531190  -0.084504     0.504722  0.003426     -0.544909  0.029186     0.447195  -0.017431     0.487700  -0.034115     0.489888  -0.060972     0.446857  -0.017280     -0.549865  0.038755     0.492675  0.022897     0.532164  -0.085137     0.486974  -0.033719     0.494059  0.022172     -0.457503  0.075891
0.021000       -0.426835  0.119529     0.507927  0.001903     0.487917  -0.063039     0.530324  -0.088653     0.504975  0.003570     -0.544783  0.030639     0.447092  -0.018294     0.487484  -0.035805     0.489330  -0.063972     0.446758  -0.018136     -0.549586  0.040671     0.493072  0.024005     0.531280  -0.089314     0.486768  -0.035391     0.494437  0.023246     -0.456806  0.079624
0.022000       -0.425535  0.125094     0.508150  0.001970     0.487357  -0.065993     0.529418  -0.092791     0.505241  0.003709     -0.544650  0.032091     0.446984  -0.019156     0.487258  -0.037492     0.488745  -0.066966     0.446653  -0.018991     -0.549293  0.042583     0.493487  0.025106     0.530354  -0.093480     0.486552  -0.037061     0.494833  0.024315     -0.456075  0.083348
0.023000       -0.424178  0.130642     0.508383  0.002035     0.486772  -0.068941     0.528470  -0.096918     0.505518  0.003844     -0.544512  0.033541     0.446871  -0.020016     0.487021  -0.039177     0.488133  -0.069952     0.446544  -0.019844     -0.548988  0.044492     0.493921  0.026202     0.529387  -0.097633     0.486326  -0.038728     0.495247  0.025379     -0.455311  0.087064
0.024000       -0.422762  0.136173     0.508626  0.002096     0.486162  -0.071881     0.527482  -0.101032     0.505806  0.003974     -0.544367  0.034992     0.446753  -0.020876     0.486774  -0.040860     0.487495  -0.072931     0.446430  -0.020697     -0.548669  0.046397     0.494373  0.027292     0.528379  -0.101774     0.486090  -0.040394     0.495679  0.026437     -0.454514  0.090770
0.025000       -0.421288  0.141683     0.508879  0.002153     0.485526  -0.074815     0.526453  -0.105134     0.506107  0.004100     -0.544216  0.036441     0.446630  -0.021734     0.486517  -0.042540     0.486831  -0.075902     0.446311  -0.021548     -0.548337  0.048299     0.494844  0.028376     0.527329  -0.105902     0.485845  -0.042057     0.496128  0.027490     -0.453685  0.094465
0.026000       -0.419757  0.147175     0.509141  0.002207     0.484866  -0.077741     0.525384  -0.109223     0.506419  0.004221     -0.544060  0.037888     0.446503  -0.022590     0.486250  -0.044217     0.486141  -0.078865     0.446187  -0.022398     -0.547992  0.050197     0.495333  0.029453     0.526238  -0.110017     0.485589  -0.043717     0.496595  0.028537     -0.452824  0.098151
0.027000       -0.418169  0.152647     0.509414  0.002258     0.484181  -0.080659     0.524275  -0.113298     0.506742  0.004337     -0.543897  0.039334     0.446370  -0.023445     0.485973  -0.045892     0.485426  -0.081819     0.446059  -0.023247     -0.547634  0.052092     0.495841  0.030523     0.525107  -0.114117     0.485325  -0.045375     0.497079  0.029577     -0.451930  0.101824
0.028000       -0.416524  0.158096     0.509696  0.002304     0.483470  -0.083570     0.523126  -0.117360     0.507077  0.004447     -0.543728  0.040780     0.446233  -0.024299     0.485686  -0.047563     0.484684  -0.084764     0.445927  -0.024094     -0.547263  0.053981     0.496366  0.031587     0.523934  -0.118202     0.485050  -0.047030     0.497581  0.030611     -0.451004  0.105487
0.029000       -0.414823  0.163524     0.509988  0.002347     0.482735  -0.086472     0.521937  -0.121406     0.507423  0.004553     -0.543554  0.042224     0.446091  -0.025150     0.485389  -0.049232     0.483917  -0.087700     0.445789  -0.024939     -0.546879  0.055867     0.496910  0.032643     0.522722  -0.122273     0.484766  -0.048683     0.498100  0.031639     -0.450046  0.109139
0.030000       -0.413065  0.168930     0.510290  0.002385     0.481976  -0.089365     0.520709  -0.125438     0.507780  0.004653     -0.543373  0.043667     0.445944  -0.026001     0.485081  -0.050897     0.483124  -0.090627     0.445647  -0.025783     -0.546483  0.057748     0.497471  0.033692     0.521469  -0.126327     0.484472  -0.050333     0.498636  0.032660     -0.449056  0.112778
0.031000       -0.411252  0.174312     0.510601  0.002419     0.481192  -0.092250     0.519442  -0.129455     0.508149  0.004747     -0.543186  0.045109     0.445793  -0.026849     0.484764  -0.052560     0.482306  -0.093544     0.445501  -0.026625     -0.546073  0.059625     0.498051  0.034733     0.520176  -0.130366     0.484168  -0.051980     0.499190  0.033673     -0.448034  0.116405
0.032000       -0.409383  0.179671     0.510922  0.002448     0.480384  -0.095125     0.518135  -0.133455     0.508528  0.004836     -0.542994  0.046548     0.445637  -0.027696     0.484437  -0.054218     0.481462  -0.096451     0.445349  -0.027466     -0.545651  0.061497     0.498648  0.035766     0.518844  -0.134388     0.483855  -0.053623     0.499760  0.034680     -0.446982  0.120019
0.033000       -0.407459  0.185004     0.511252  0.002473     0.479551  -0.097991     0.516789  -0.137439     0.508919  0.004918     -0.542795  0.047987     0.445476  -0.028541     0.484100  -0.055874     0.480594  -0.099347     0.445194  -0.028305     -0.545216  0.063364     0.499262  0.036792     0.517472  -0.138392     0.483533  -0.055264     0.500348  0.035679     -0.445898  0.123620
0.034000       -0.405481  0.190312     0.511592  0.002494     0.478695  -0.100847     0.515406  -0.141406     0.509320  0.004994     -0.542591  0.049425     0.445310  -0.029384     0.483753  -0.057526     0.479701  -0.102233     0.445033  -0.029142     -0.544768  0.065227     0.499894  0.037808     0.516061  -0.142379     0.483201  -0.056902     0.500952  0.036670     -0.444783  0.127208
0.035000       -0.403449  0.195594     0.511941  0.002509     0.477814  -0.103694     0.513983  -0.145356     0.509732  0.005064     -0.542381  0.050860     0.445140  -0.030225     0.483396  -0.059174     0.478783  -0.105108     0.444869  -0.029978     -0.544308  0.067084     0.500544  0.038817     0.514611  -0.146348     0.482859  -0.058536     0.501573  0.037654     -0.443637  0.130781
0.036000       -0.401362  0.200850     0.512299  0.002520     0.476910  -0.106530     0.512523  -0.149288     0.510155  0.005128     -0.542165  0.052294     0.444965  -0.031064     0.483030  -0.060818     0.477840  -0.107972     0.444699  -0.030811     -0.543836  0.068937     0.501210  0.039816     0.513123  -0.150299     0.482509  -0.060167     0.502210  0.038629     -0.442460  0.134340
0.037000       -0.399223  0.206078     0.512667  0.002525     0.475982  -0.109356     0.511025  -0.153202     0.510588  0.005184     -0.541943  0.053727     0.444786  -0.031901     0.482654  -0.062459     0.476873  -0.110824     0.444526  -0.031643     -0.543351  0.070783     0.501894  0.040806     0.511597  -0.154230     0.482149  -0.061795     0.502864  0.039596     -0.441254  0.137885
0.038000       -0.397030  0.211278     0.513044  0.002526     0.475030  -0.112171     0.509490  -0.157097     0.511031  0.005234     -0.541715  0.055158     0.444602  -0.032736     0.482268  -0.064096     0.475882  -0.113665     0.444348  -0.032473     -0.542854  0.072625     0.502594  0.041787     0.510032  -0.158142     0.481779  -0.063419     0.503534  0.040555     -0.440017  0.141415
0.039000       -0.394785  0.216449     0.513430  0.002521     0.474055  -0.114975     0.507917  -0.160973     0.511485  0.005277     -0.541481  0.056587     0.444414  -0.033569     0.481873  -0.065729     0.474867  -0.116493     0.444165  -0.033300     -0.542345  0.074461     0.503312  0.042759     0.508430  -0.162034     0.481400  -0.065039     0.504220  0.041504     -0.438750  0.144928
0.040000       -0.392488  0.221591     0.513824  0.002510     0.473057  -0.117767     0.506307  -0.164829     0.511949  0.005313     -0.541242  0.058015     0.444221  -0.034399     0.481469  -0.067357     0.473828  -0.119309     0.443978  -0.034126     -0.541823  0.076290     0.504045  0.043721     0.506790  -0.165906     0.481013  -0.066655     0.504923  0.042445     -0.437453  0.148427
0.041000       -0.390140  0.226702     0.514228  0.002494     0.472036  -0.120549     0.504661  -0.168665     0.512424  0.005341     -0.540997  0.059441     0.444024  -0.035228     0.481055  -0.068982     0.472765  -0.122113     0.443787  -0.034950     -0.541290  0.078115     0.504796  0.044673     0.505114  -0.169757     0.480616  -0.068268     0.505641  0.043377     -0.436127  0.151910
0.042000       -0.387740  0.231784     0.514641  0.002473     0.470992  -0.123318     0.502978  -0.172481     0.512908  0.005362     -0.540746  0.060865     0.443822  -0.036054     0.480631  -0.070602     0.471679  -0.124904     0.443592  -0.035771     -0.540744  0.079933     0.505562  0.045615     0.503400  -0.173586     0.480210  -0.069877     0.506376  0.044299     -0.434772  0.155376
0.043000       -0.385290  0.236834     0.515062  0.002445     0.469926  -0.126075     0.501259  -0.176276     0.513401  0.005375     -0.540489  0.062287     0.443616  -0.036878     0.480198  -0.072217     0.470569  -0.127681     0.443392  -0.036590     -0.540187  0.081745     0.506345  0.046546     0.501650  -0.177394     0.479794  -0.071482     0.507126  0.045212     -0.433388  0.158825
0.044000       -0.382790  0.241852     0.515492  0.002412     0.468836  -0.128821     0.499505  -0.180049     0.513905  0.005381     -0.540227  0.063708     0.443405  -0.037699     0.479756  -0.073829     0.469437  -0.130445     0.443188  -0.037407     -0.539618  0.083551     0.507144  0.047467     0.499864  -0.181179     0.479370  -0.073083     0.507891  0.046116     -0.431975  0.162258
0.045000       -0.380240  0.246837     0.515931  0.002372     0.467725  -0.131553     0.497715  -0.183801     0.514418  0.005379     -0.539959  0.065126     0.443191  -0.038518     0.479305  -0.075436     0.468281  -0.133196     0.442979  -0.038222     -0.539037  0.085350     0.507958  0.048378     0.498043  -0.184942     0.478937  -0.074680     0.508672  0.047009     -0.430534  0.165673
0.046000       -0.377641  0.251790     0.516378  0.002327     0.466591  -0.134273     0.495890  -0.187531     0.514941  0.005368     -0.539685  0.066543     0.442972  -0.039335     0.478845  -0.077038     0.467103  -0.135933     0.442767  -0.039035     -0.538445  0.087143     0.508789  0.049277     0.496186  -0.188682     0.478495  -0.076273     0.509468  0.047892     -0.429064  0.169070
0.047000       -0.374993  0.256709     0.516834  0.002275     0.465435  -0.136980     0.494031  -0.191238     0.515472  0.005350     -0.539405  0.067958     0.442748  -0.040149     0.478375  -0.078635     0.465902  -0.138655     0.442550  -0.039845     -0.537841  0.088929     0.509634  0.050165     0.494293  -0.192398     0.478044  -0.077861     0.510279  0.048765     -0.427567  0.172449
0.048000       -0.372298  0.261594     0.517298  0.002217     0.464257  -0.139674     0.492136  -0.194923     0.516013  0.005323     -0.539120  0.069371     0.442521  -0.040960     0.477897  -0.080228     0.464680  -0.141363     0.442329  -0.040652     -0.537226  0.090709     0.510495  0.051042     0.492367  -0.196091     0.477585  -0.079445     0.511105  0.049628     -0.426042  0.175810
0.049000       -0.369555  0.266444     0.517770  0.002152     0.463058  -0.142354     0.490208  -0.198584     0.516563  0.005288     -0.538830  0.070781     0.442289  -0.041769     0.477410  -0.081815     0.463435  -0.144057     0.442104  -0.041457     -0.536599  0.092482     0.511372  0.051908     0.490405  -0.199759     0.477117  -0.081024     0.511947  0.050479     -0.424490  0.179152
0.050000       -0.366765  0.271259     0.518251  0.002080     0.461837  -0.145021     0.488246  -0.202221     0.517122  0.005244     -0.538534  0.072190     0.442053  -0.042575     0.476913  -0.083398     0.462168  -0.146735     0.441875  -0.042260     -0.535961  0.094248     0.512263  0.052761     0.488410  -0.203403     0.476640  -0.082599     0.512802  0.051321     -0.422910  0.182475
0.051000       -0.363929  0.276038     0.518739  0.002002     0.460595  -0.147674     0.486251  -0.205834     0.517690  0.005191     -0.538232  0.073597     0.441813  -0.043379     0.476408  -0.084975     0.460879  -0.149399     0.441642  -0.043060     -0.535313  0.096006     0.513169  0.053603     0.486381  -0.207022     0.476154  -0.084170     0.513672  0.052151     -0.421304  0.185779
0.052000       -0.361047  0.280780     0.519236  0.001917     0.459331  -0.150312     0.484222  -0.209423     0.518266  0.005130     -0.537925  0.075001     0.441569  -0.044180     0.475895  -0.086548     0.459569  -0.152047     0.441405  -0.043858     -0.534652  0.097759     0.514089  0.054433     0.484319  -0.210615     0.475660  -0.085735     0.514557  0.052969     -0.419671  0.189064
