%# f in GHz     S1(1)1(1)              S1(1)2(1)              S2(1)1(1)              S2(1)2(1)
%#              Re         Im          Re         Im          Re         Im          Re         Im
%# Reference impedance at port 1 (mode 1):  47.7088394165039, port 2 (mode 1):  47.7088394165039 
0.000000       -0.020396  0.000000     0.979470  0.000000     0.979477  0.000000     -0.020403  0.000000
0.015000       -0.021092  -0.020876     0.978725  -0.032151     0.978733  -0.032152     -0.021099  -0.020875
0.030000       -0.023177  -0.041655     0.976496  -0.064210     0.976504  -0.064212     -0.023184  -0.041653
0.045000       -0.026638  -0.062240     0.972793  -0.096087     0.972800  -0.096090     -0.026645  -0.062238
0.060000       -0.031455  -0.082537     0.967633  -0.127692     0.967639  -0.127696     -0.031461  -0.082534
0.075000       -0.037597  -0.102454     0.961040  -0.158938     0.961045  -0.158942     -0.037603  -0.102450
0.090000       -0.045030  -0.121903     0.953044  -0.189738     0.953049  -0.189743     -0.045035  -0.121898
0.105000       -0.053708  -0.140800     0.943684  -0.220011     0.943688  -0.220017     -0.053713  -0.140794
0.120000       -0.063583  -0.159065     0.933001  -0.249678     0.933004  -0.249684     -0.063587  -0.159059
0.135000       -0.074598  -0.176625     0.921044  -0.278664     0.921047  -0.278670     -0.074601  -0.176619
0.150000       -0.086694  -0.193413     0.907867  -0.306899     0.907868  -0.306905     -0.086695  -0.193406
0.165000       -0.099803  -0.209367     0.893528  -0.334318     0.893529  -0.334324     -0.099804  -0.209361
0.180000       -0.113860  -0.224434     0.878089  -0.360860     0.878089  -0.360866     -0.113860  -0.224428
0.195000       -0.128791  -0.238565     0.861618  -0.386471     0.861617  -0.386477     -0.128790  -0.238559
0.210000       -0.144524  -0.251720     0.844182  -0.411103     0.844180  -0.411109     -0.144522  -0.251714
0.225000       -0.160984  -0.263864     0.825854  -0.434713     0.825852  -0.434718     -0.160982  -0.263858
0.240000       -0.178097  -0.274969     0.806708  -0.457265     0.806705  -0.457270     -0.178094  -0.274965
0.255000       -0.195789  -0.285016     0.786818  -0.478729     0.786815  -0.478733     -0.195785  -0.285012
0.270000       -0.213984  -0.293988     0.766261  -0.499080     0.766257  -0.499084     -0.213980  -0.293984
0.285000       -0.232611  -0.301876     0.745112  -0.518302     0.745108  -0.518305     -0.232607  -0.301873
0.300000       -0.251599  -0.308676     0.723448  -0.536382     0.723444  -0.536385     -0.251595  -0.308674
0.315000       -0.270880  -0.314389     0.701342  -0.553316     0.701337  -0.553318     -0.270875  -0.314388
0.330000       -0.290386  -0.319020     0.678867  -0.569103     0.678863  -0.569104     -0.290382  -0.319019
0.345000       -0.310055  -0.322579     0.656094  -0.583748     0.656090  -0.583748     -0.310051  -0.322578
0.360000       -0.329826  -0.325077     0.633093  -0.597263     0.633089  -0.597262     -0.329822  -0.325078
0.375000       -0.349641  -0.326531     0.609928  -0.609661     0.609925  -0.609660     -0.349638  -0.326532
0.390000       -0.369445  -0.326960     0.586662  -0.620962     0.586659  -0.620961     -0.369442  -0.326961
0.405000       -0.389186  -0.326383     0.563354  -0.631190     0.563352  -0.631188     -0.389184  -0.326385
0.420000       -0.408815  -0.324825     0.540060  -0.640370     0.540058  -0.640368     -0.408813  -0.324827
0.435000       -0.428286  -0.322310     0.516830  -0.648532     0.516829  -0.648530     -0.428285  -0.322312
0.450000       -0.447555  -0.318864     0.493712  -0.655707     0.493711  -0.655705     -0.447554  -0.318866
0.465000       -0.466580  -0.314515     0.470750  -0.661928     0.470750  -0.661926     -0.466580  -0.314516
0.480000       -0.485324  -0.309291     0.447984  -0.667230     0.447983  -0.667229     -0.485324  -0.309292
0.495000       -0.503750  -0.303223     0.425447  -0.671650     0.425447  -0.671649     -0.503750  -0.303224
0.510000       -0.521824  -0.296340     0.403173  -0.675223     0.403173  -0.675221     -0.521824  -0.296342
0.525000       -0.539515  -0.288676     0.381190  -0.677985     0.381190  -0.677984     -0.539516  -0.288676
