 1.5915e+07(-0.0000e+00) 1.6975e-03(-0.0000e+00) -1.6975e-01(0.0000e+00) 8.4874e-04(-0.0000e+00) -8.4874e-02(0.0000e+00) 5.6583e-04(-0.0000e+00) -5.6583e-02(0.0000e+00) 4.2437e-04(-0.0000e+00) -4.2437e-02(0.0000e+00) 3.3950e-04(-0.0000e+00) -3.3950e-02(0.0000e+00) 2.8291e-04(-0.0000e+00) -2.8291e-02(0.0000e+00) 2.4250e-04(-0.0000e+00) -2.4250e-02(0.0000e+00) 2.1219e-04(-0.0000e+00) -2.1219e-02(0.0000e+00)
 7.0736e-06(-1.0610e+01) 1.6978e-03(-1.3582e-03) -1.6976e-01(2.7160e-05) 8.4878e-04(-3.3951e-04) -8.4875e-02(6.7895e-06) 5.6584e-04(-1.5089e-04) -5.6583e-02(3.0175e-06) 4.2438e-04(-8.4875e-05) -4.2437e-02(1.6973e-06) 3.3950e-04(-5.4320e-05) -3.3950e-02(1.0863e-06) 2.8292e-04(-3.7722e-05) -2.8291e-02(7.5436e-07) 2.4250e-04(-2.7714e-05) -2.4250e-02(5.5423e-07) 2.1219e-04(-2.1219e-05) -2.1219e-02(4.2433e-07)
 1.7684e-06(-5.3052e+00) 1.6988e-03(-2.7181e-03) -1.6979e-01(5.4342e-05) 8.4890e-04(-6.7912e-04) -8.4880e-02(1.3580e-05) 5.6588e-04(-3.0180e-04) -5.6584e-02(6.0352e-06) 4.2439e-04(-1.6976e-04) -4.2438e-02(3.3947e-06) 3.3951e-04(-1.0864e-04) -3.3950e-02(2.1726e-06) 2.8292e-04(-7.5445e-05) -2.8292e-02(1.5087e-06) 2.4250e-04(-5.5429e-05) -2.4250e-02(1.1085e-06) 2.1219e-04(-4.2438e-05) -2.1219e-02(8.4866e-07)
 7.8595e-07(-3.5368e+00) 1.7004e-03(-4.0810e-03) -1.6985e-01(8.1565e-05) 8.4911e-04(-1.0189e-03) -8.4886e-02(2.0374e-05) 5.6594e-04(-4.5275e-04) -5.6586e-02(9.0535e-06) 4.2442e-04(-2.5465e-04) -4.2439e-02(5.0923e-06) 3.3952e-04(-1.6297e-04) -3.3950e-02(3.2590e-06) 2.8293e-04(-1.1317e-04) -2.8292e-02(2.2632e-06) 2.4251e-04(-8.3145e-05) -2.4250e-02(1.6627e-06) 2.1219e-04(-6.3657e-05) -2.1219e-02(1.2730e-06)
 4.4210e-07(-2.6526e+00) 1.7027e-03(-5.4487e-03) -1.6992e-01(1.0885e-04) 8.4939e-04(-1.3590e-03) -8.4896e-02(2.7171e-05) 5.6602e-04(-6.0376e-04) -5.6589e-02(1.2073e-05) 4.2445e-04(-3.3956e-04) -4.2440e-02(6.7901e-06) 3.3954e-04(-2.1730e-04) -3.3951e-02(4.3455e-06) 2.8294e-04(-1.5090e-04) -2.8292e-02(3.0176e-06) 2.4251e-04(-1.1086e-04) -2.4250e-02(2.2170e-06) 2.1220e-04(-8.4878e-05) -2.1219e-02(1.6974e-06)
 2.8294e-07(-2.1221e+00) 1.7056e-03(-6.8226e-03) -1.7002e-01(1.3622e-04) 8.4976e-04(-1.6995e-03) -8.4908e-02(3.3973e-05) 5.6613e-04(-7.5484e-04) -5.6593e-02(1.5093e-05) 4.2450e-04(-4.2450e-04) -4.2441e-02(8.4883e-06) 3.3956e-04(-2.7165e-04) -3.3952e-02(5.4321e-06) 2.8295e-04(-1.8863e-04) -2.8293e-02(3.7721e-06) 2.4252e-04(-1.3858e-04) -2.4251e-02(2.7713e-06) 2.1220e-04(-1.0610e-04) -2.1219e-02(2.1217e-06)
 1.9649e-07(-1.7684e+00) 1.7093e-03(-8.2044e-03) -1.7014e-01(1.6370e-04) 8.5021e-04(-2.0405e-03) -8.4923e-02(4.0782e-05) 5.6626e-04(-9.0602e-04) -5.6597e-02(1.8114e-05) 4.2455e-04(-5.0946e-04) -4.2443e-02(1.0187e-05) 3.3959e-04(-3.2601e-04) -3.3953e-02(6.5189e-06) 2.8297e-04(-2.2637e-04) -2.8293e-02(4.5267e-06) 2.4253e-04(-1.6631e-04) -2.4251e-02(3.3257e-06) 2.1221e-04(-1.2732e-04) -2.1219e-02(2.5462e-06)
 1.4436e-07(-1.5158e+00) 1.7135e-03(-9.5958e-03) -1.7028e-01(1.9130e-04) 8.5074e-04(-2.3821e-03) -8.4941e-02(4.7599e-05) 5.6642e-04(-1.0573e-03) -5.6602e-02(2.1137e-05) 4.2462e-04(-5.9447e-04) -4.2445e-02(1.1886e-05) 3.3962e-04(-3.8038e-04) -3.3954e-02(7.6059e-06) 2.8299e-04(-2.6412e-04) -2.8294e-02(5.2814e-06) 2.4254e-04(-1.9404e-04) -2.4251e-02(3.8801e-06) 2.1222e-04(-1.4855e-04) -2.1220e-02(2.9706e-06)
 1.1052e-07(-1.3263e+00) 1.7185e-03(-1.0998e-02) -1.7045e-01(2.1905e-04) 8.5135e-04(-2.7243e-03) -8.4961e-02(5.4425e-05) 5.6660e-04(-1.2087e-03) -5.6609e-02(2.4162e-05) 4.2470e-04(-6.7951e-04) -4.2448e-02(1.3585e-05) 3.3966e-04(-4.3477e-04) -3.3955e-02(8.6931e-06) 2.8301e-04(-3.0188e-04) -2.8295e-02(6.0363e-06) 2.4256e-04(-2.2177e-04) -2.4252e-02(4.4345e-06) 2.1223e-04(-1.6978e-04) -2.1220e-02(3.3951e-06)
 8.7328e-08(-1.1789e+00) 1.7241e-03(-1.2414e-02) -1.7063e-01(2.4697e-04) 8.5205e-04(-3.0674e-03) -8.4984e-02(6.1262e-05) 5.6681e-04(-1.3603e-03) -5.6615e-02(2.7188e-05) 4.2478e-04(-7.6461e-04) -4.2451e-02(1.5286e-05) 3.3971e-04(-4.8918e-04) -3.3957e-02(9.7806e-06) 2.8304e-04(-3.3964e-04) -2.8295e-02(6.7912e-06) 2.4257e-04(-2.4951e-04) -2.4252e-02(4.9891e-06) 2.1224e-04(-1.9101e-04) -2.1220e-02(3.8196e-06)
 7.0736e-08(-1.0610e+00) 1.7304e-03(-1.3843e-02) -1.7084e-01(2.7508e-04) 8.5283e-04(-3.4113e-03) -8.5010e-02(6.8110e-05) 5.6704e-04(-1.5121e-03) -5.6623e-02(3.0217e-05) 4.2488e-04(-8.4976e-04) -4.2454e-02(1.6987e-05) 3.3976e-04(-5.4361e-04) -3.3958e-02(1.0868e-05) 2.8306e-04(-3.7742e-04) -2.8296e-02(7.5463e-06) 2.4259e-04(-2.7725e-04) -2.4253e-02(5.5437e-06) 2.1225e-04(-2.1225e-04) -2.1221e-02(4.2441e-06)
